sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Laliga2 2023 2024,Regular Season,24/06/,EspanyolWinner,Oviedo,2,0,0,g_1_UilvTxne,1.84,3.52,4.35,0.0,0.0
football,Laliga2 2023 2024,Regular Season,17/06/,Oviedo,Espanyol,1,0,0,g_1_YPfVUbHr,2.36,2.92,3.42,0.0,0.0
football,Laliga2 2023 2024,Regular Season,14/06/,EspanyolAdvancing to next round,Gijon,0,0,1,g_1_6VKSvcjS,1.7,3.59,5.24,0.0,0.0
football,Laliga2 2023 2024,Regular Season,13/06/,Eibar,OviedoAdvancing to next round,0,2,2,g_1_bTa7XEr2,1.93,3.22,4.37,0.0,0.0
football,Laliga2 2023 2024,Regular Season,10/06/,Gijon,Espanyol,0,1,2,g_1_b5HKtJLF,2.56,3.11,2.89,0.97,2.24
football,Laliga2 2023 2024,Regular Season,09/06/,Oviedo,Eibar,0,0,1,g_1_QF1aZzEk,2.21,3.11,3.51,0.57,0.17
football,Laliga2 2023 2024,Round 42,03/06/,Zaragoza,Albacete,1,1,1,g_1_jyvFGzK9,1.81,3.62,4.36,0.8,0.42
football,Laliga2 2023 2024,Round 42,03/06/,Eibar,Oviedo,4,3,0,g_1_2FcKfgcj,2.06,3.31,3.71,2.18,2.71
football,Laliga2 2023 2024,Round 42,03/06/,Eldense,Gijon,0,1,2,g_1_t6dOgDCd,4.79,3.93,1.68,0.67,0.45
football,Laliga2 2023 2024,Round 42,03/06/,Espanyol,FC Cartagena SAD,3,0,0,g_1_b1sNEElM,1.58,3.8,6.26,2.33,0.45
football,Laliga2 2023 2024,Round 42,03/06/,Leganes,Elche,2,0,0,g_1_xhtRDY3S,1.67,3.34,6.31,1.26,0.38
football,Laliga2 2023 2024,Round 42,03/06/,Mirandes,Amorebieta,1,0,0,g_1_URxJFfZF,1.96,3.42,3.92,0.59,0.33
football,Laliga2 2023 2024,Round 42,03/06/,Tenerife,Valladolid,2,1,0,g_1_8ClAHG43,2.8,3.12,2.63,1.66,0.85
football,Laliga2 2023 2024,Round 42,03/06/,Villarreal B,Racing Santander,1,0,0,g_1_rZIg9hCq,4.11,3.93,1.78,1.55,0.96
football,Laliga2 2023 2024,Round 42,02/06/,Alcorcon,Burgos CF,1,1,1,g_1_zgRNeZsp,2.64,3.52,2.54,1.5,1.81
football,Laliga2 2023 2024,Round 42,02/06/,Andorra,Racing Club Ferrol,1,0,0,g_1_ptdKHyM0,1.97,3.67,3.61,0.76,0.23
football,Laliga2 2023 2024,Round 42,02/06/,Huesca,Levante,0,0,1,g_1_f9p6Idkc,2.43,3.29,2.93,1.67,0.97
football,Laliga2 2023 2024,Round 41,27/05/,Albacete,Mirandes,2,2,1,g_1_j3vHarqI,2.54,3.4,2.7,1.64,2.41
football,Laliga2 2023 2024,Round 41,27/05/,Amorebieta,Espanyol,0,0,1,g_1_pQwLb2bO,3.32,3.27,2.22,0.49,0.52
football,Laliga2 2023 2024,Round 41,27/05/,Burgos CF,Tenerife,1,1,1,g_1_d0sPcMDU,1.81,3.41,4.76,1.6,1.31
football,Laliga2 2023 2024,Round 41,27/05/,Elche,Eldense,1,2,2,g_1_0E7ZHPbn,1.65,3.6,5.75,1.17,0.81
football,Laliga2 2023 2024,Round 41,27/05/,FC Cartagena SAD,Huesca,0,2,2,g_1_MN8VI5qt,3.51,3.11,2.21,0.41,1.25
football,Laliga2 2023 2024,Round 41,27/05/,Gijon,Eibar,1,0,0,g_1_464jEsbB,2.64,3.05,2.85,1.49,0.53
football,Laliga2 2023 2024,Round 41,27/05/,Levante,Alcorcon,2,2,1,g_1_j30nFNr5,1.9,3.7,3.81,1.05,1.28
football,Laliga2 2023 2024,Round 41,27/05/,Oviedo,Andorra,3,0,0,g_1_6kcGIH6f,1.47,4.4,6.6,1.74,0.48
football,Laliga2 2023 2024,Round 41,27/05/,Racing Club Ferrol,Leganes,2,2,1,g_1_UmCwHqEh,2.86,2.98,2.69,1.86,0.46
football,Laliga2 2023 2024,Round 41,27/05/,Racing Santander,Zaragoza,0,2,2,g_1_8vBsG3Tb,2.13,3.35,3.45,1.06,2.32
football,Laliga2 2023 2024,Round 41,27/05/,Valladolid,Villarreal B,3,2,0,g_1_bT3fD1DH,1.38,5.04,7.56,1.73,0.78
football,Laliga2 2023 2024,Round 40,21/05/,Espanyol,Oviedo,2,1,0,g_1_dtJsoqUO,2.08,3.11,3.93,1.45,0.78
football,Laliga2 2023 2024,Round 40,21/05/,Villarreal B,Albacete,2,2,1,g_1_8Krd46Un,2.73,3.63,2.41,2.92,2.52
football,Laliga2 2023 2024,Round 40,20/05/,Zaragoza,Racing Club Ferrol,2,2,1,g_1_CCuD0OTB,2.17,3.02,3.77,1.77,0.46
football,Laliga2 2023 2024,Round 40,19/05/,Alcorcon,Valladolid,1,1,1,g_1_zRUYn5aC,3.43,2.9,2.37,0.63,0.93
football,Laliga2 2023 2024,Round 40,19/05/,Eibar,FC Cartagena SAD,1,0,0,g_1_Gpn42paa,1.35,5.05,8.33,1.67,0.27
football,Laliga2 2023 2024,Round 40,19/05/,Eldense,Levante,0,0,1,g_1_IkKwnPEI,2.61,3.21,2.76,0.66,0.28
football,Laliga2 2023 2024,Round 40,19/05/,Tenerife,Amorebieta,0,1,2,g_1_MNn03Qqg,2.0,3.29,3.93,1.13,1.29
football,Laliga2 2023 2024,Round 40,18/05/,Huesca,Racing Santander,0,3,2,g_1_On7P9S6P,2.5,2.93,3.16,0.93,2.09
football,Laliga2 2023 2024,Round 40,18/05/,Leganes,Gijon,2,1,0,g_1_Qegi5nFt,1.83,3.34,4.69,1.66,0.59
football,Laliga2 2023 2024,Round 40,18/05/,Andorra,Burgos CF,1,0,0,g_1_OQ7BJcil,0.0,0.0,0.0,1.72,0.94
football,Laliga2 2023 2024,Round 40,18/05/,Mirandes,Elche,1,1,1,g_1_fyo814E5,3.32,3.27,2.22,0.65,0.86
football,Laliga2 2023 2024,Round 39,13/05/,Elche,Huesca,0,3,2,g_1_z3nnd9xQ,1.57,3.75,6.49,1.63,0.68
football,Laliga2 2023 2024,Round 39,13/05/,Albacete,Leganes,1,0,0,g_1_SnnhzSF6,2.63,2.74,3.21,1.0,0.67
football,Laliga2 2023 2024,Round 39,13/05/,FC Cartagena SAD,Tenerife,2,0,0,g_1_xITrckNJ,2.44,2.94,3.25,1.15,0.67
football,Laliga2 2023 2024,Round 39,12/05/,Oviedo,Zaragoza,1,0,0,g_1_hrZDiTps,1.94,3.29,4.18,0.91,0.67
football,Laliga2 2023 2024,Round 39,12/05/,Amorebieta,Villarreal B,2,0,0,g_1_dMjdZoVC,2.44,3.36,2.85,1.36,1.57
football,Laliga2 2023 2024,Round 39,12/05/,Levante,Eibar,2,2,1,g_1_lASMk7Fg,2.89,3.41,2.39,2.39,0.65
football,Laliga2 2023 2024,Round 39,12/05/,Valladolid,Espanyol,0,0,1,g_1_S0RQlRUa,2.1,3.19,3.74,1.25,0.12
football,Laliga2 2023 2024,Round 39,11/05/,Gijon,Andorra,5,2,0,g_1_Quk8Kwxr,1.83,3.55,4.39,1.54,1.23
football,Laliga2 2023 2024,Round 39,11/05/,Racing Club Ferrol,Alcorcon,2,1,0,g_1_WYXHjm0m,2.13,2.94,4.05,1.22,0.72
football,Laliga2 2023 2024,Round 39,11/05/,Racing Santander,Mirandes,1,0,0,g_1_MNQUmop6,1.92,3.62,3.82,1.09,0.46
football,Laliga2 2023 2024,Round 39,11/05/,Burgos CF,Eldense,1,2,2,g_1_zDk0Y5pJ,1.78,3.6,4.62,1.39,1.98
football,Laliga2 2023 2024,Round 38,06/05/,Tenerife,Racing Club Ferrol,2,0,0,g_1_6Xcqxlof,2.22,2.92,3.78,2.62,0.76
football,Laliga2 2023 2024,Round 38,06/05/,Eldense,Leganes,1,2,2,g_1_SQAHNlW0,3.37,2.82,2.46,0.34,1.38
football,Laliga2 2023 2024,Round 38,06/05/,Zaragoza,Burgos CF,1,3,2,g_1_b7fyvAGs,2.06,3.1,4.01,2.09,0.57
football,Laliga2 2023 2024,Round 38,05/05/,Andorra,Albacete,0,1,2,g_1_802tPJTQ,2.18,3.34,3.34,0.98,0.28
football,Laliga2 2023 2024,Round 38,05/05/,Espanyol,Gijon,0,0,1,g_1_Ak0MM8o7,1.89,3.3,4.46,1.47,0.32
football,Laliga2 2023 2024,Round 38,05/05/,Eibar,Amorebieta,5,0,0,g_1_db89rj8Q,1.39,4.48,8.73,3.92,1.58
football,Laliga2 2023 2024,Round 38,05/05/,FC Cartagena SAD,Alcorcon,1,0,0,g_1_GniCqWhK,2.17,2.92,4.03,0.41,0.32
football,Laliga2 2023 2024,Round 38,05/05/,Racing Santander,Elche,3,1,0,g_1_hUguwUVm,2.63,3.26,2.7,2.12,1.48
football,Laliga2 2023 2024,Round 38,04/05/,Huesca,Oviedo,0,2,2,g_1_Oh4QLS0D,2.8,2.9,2.8,0.99,1.22
football,Laliga2 2023 2024,Round 38,04/05/,Mirandes,Valladolid,0,1,2,g_1_xdh8pCwE,3.48,3.18,2.19,0.73,0.5
football,Laliga2 2023 2024,Round 38,04/05/,Villarreal B,Levante,0,3,2,g_1_ldmly800,2.41,3.5,2.81,1.3,1.42
football,Laliga2 2023 2024,Round 37,30/04/,Racing Club Ferrol,Mirandes,0,2,2,g_1_GOhPpLXd,1.83,3.25,4.9,0.83,1.13
football,Laliga2 2023 2024,Round 37,29/04/,Albacete,Eibar,2,1,0,g_1_6gBYNcQq,2.66,3.08,2.8,1.03,0.93
football,Laliga2 2023 2024,Round 37,29/04/,Levante,FC Cartagena SAD,0,1,2,g_1_K079PA1l,1.66,3.82,5.18,0.6,0.83
football,Laliga2 2023 2024,Round 37,29/04/,Valladolid,Huesca,1,0,0,g_1_lzCDOUGf,1.68,3.23,6.65,0.88,0.55
football,Laliga2 2023 2024,Round 37,28/04/,Alcorcon,Eldense,0,0,1,g_1_0GAxNHuj,2.37,2.96,3.36,0.52,0.43
football,Laliga2 2023 2024,Round 37,28/04/,Oviedo,Tenerife,0,1,2,g_1_lxiXra29,1.68,3.78,5.04,0.84,0.27
football,Laliga2 2023 2024,Round 37,28/04/,Gijon,Villarreal B,0,3,2,g_1_0CfyrJHF,1.61,3.57,6.45,1.47,1.63
football,Laliga2 2023 2024,Round 37,28/04/,Elche,Espanyol,2,2,1,g_1_v79tMyed,1.98,3.36,3.95,0.56,1.84
football,Laliga2 2023 2024,Round 37,27/04/,Burgos CF,Amorebieta,2,2,1,g_1_tA85Qjnr,1.63,3.64,5.82,0.88,0.89
football,Laliga2 2023 2024,Round 37,27/04/,Leganes,Zaragoza,1,1,1,g_1_fFiTqum3,2.03,2.91,4.49,0.42,1.02
football,Laliga2 2023 2024,Round 37,27/04/,Andorra,Racing Santander,1,1,1,g_1_U93xQaEK,2.05,3.68,3.37,1.32,1.71
football,Laliga2 2023 2024,Round 36,23/04/,FC Cartagena SAD,Oviedo,2,0,0,g_1_nVydAvdp,2.98,2.98,2.58,2.13,0.81
football,Laliga2 2023 2024,Round 36,22/04/,Mirandes,Burgos CF,2,1,0,g_1_EsHfVuY9,2.55,3.0,3.0,1.66,0.4
football,Laliga2 2023 2024,Round 36,21/04/,Eibar,Alcorcon,2,0,0,g_1_ziIjWLI3,1.44,3.98,8.96,1.48,0.54
football,Laliga2 2023 2024,Round 36,21/04/,Eldense,Albacete,0,1,2,g_1_hSSoX13c,3.26,3.06,2.35,0.45,0.99
football,Laliga2 2023 2024,Round 36,21/04/,Espanyol,Andorra,1,1,1,g_1_CY8XQuaE,1.66,3.5,5.93,0.64,0.42
football,Laliga2 2023 2024,Round 36,21/04/,Huesca,Zaragoza,1,2,2,g_1_vPOsYsli,2.54,2.54,3.72,0.77,1.32
football,Laliga2 2023 2024,Round 36,21/04/,Elche,Gijon,2,1,0,g_1_QLz09bBj,1.66,3.74,5.32,0.87,0.65
football,Laliga2 2023 2024,Round 36,20/04/,Racing Santander,Levante,0,0,1,g_1_UXJ6SwIS,2.15,3.5,3.25,1.51,1.04
football,Laliga2 2023 2024,Round 36,20/04/,Villarreal B,Racing Club Ferrol,1,0,0,g_1_8IVcUamG,2.62,3.12,2.82,1.38,0.62
football,Laliga2 2023 2024,Round 36,20/04/,Amorebieta,Valladolid,0,3,2,g_1_6yfTEKmT,3.62,3.11,2.17,0.25,1.33
football,Laliga2 2023 2024,Round 36,20/04/,Tenerife,Leganes,0,0,1,g_1_n9U1TJ2M,2.58,2.77,3.23,0.04,0.52
football,Laliga2 2023 2024,Round 35,16/04/,Alcorcon,Villarreal B,1,0,0,g_1_EsVk11JT,2.31,3.01,3.42,0.21,1.23
football,Laliga2 2023 2024,Round 35,15/04/,Racing Club Ferrol,Huesca,2,1,0,g_1_h800L44o,2.19,2.86,3.98,0.36,0.37
football,Laliga2 2023 2024,Round 35,15/04/,Burgos CF,Racing Santander,2,1,0,g_1_j3MHdLRp,2.19,3.48,3.18,1.37,0.53
football,Laliga2 2023 2024,Round 35,15/04/,Zaragoza,Elche,1,1,1,g_1_vP2CI2l4,3.18,2.86,2.54,0.78,1.06
football,Laliga2 2023 2024,Round 35,14/04/,Albacete,Tenerife,1,0,0,g_1_KKVo2s4N,2.09,3.18,3.78,3.02,0.19
football,Laliga2 2023 2024,Round 35,14/04/,Andorra,Eibar,0,2,2,g_1_YsATRLq8,2.71,3.06,2.76,0.67,0.64
football,Laliga2 2023 2024,Round 35,14/04/,Oviedo,Mirandes,1,1,1,g_1_SpePF0YM,1.51,3.95,6.91,0.83,0.99
football,Laliga2 2023 2024,Round 35,14/04/,Levante,Amorebieta,1,2,2,g_1_Wba4KOJi,1.66,3.74,5.32,1.6,1.72
football,Laliga2 2023 2024,Round 35,14/04/,Valladolid,Eldense,1,0,0,g_1_MmhHHM3A,1.68,3.59,5.4,1.35,0.46
football,Laliga2 2023 2024,Round 35,13/04/,Gijon,FC Cartagena SAD,1,0,0,g_1_0Y38JrZc,1.91,3.2,4.5,1.0,0.48
football,Laliga2 2023 2024,Round 35,13/04/,Leganes,Espanyol,0,0,1,g_1_YNeLGtJG,2.25,2.9,3.74,1.12,0.54
football,Laliga2 2023 2024,Round 34,09/04/,Racing Santander,Alcorcon2,0,1,2,g_1_MRGt5qK4,1.7,3.63,5.14,2.2,0.42
football,Laliga2 2023 2024,Round 34,08/04/,FC Cartagena SAD,Valladolid,0,2,2,g_1_2NqGlOZN,3.67,2.97,2.23,0.85,0.6
football,Laliga2 2023 2024,Round 34,08/04/,Espanyol,Albacete,2,1,0,g_1_S4Hx6P4b,1.78,3.38,4.96,0.7,1.01
football,Laliga2 2023 2024,Round 34,08/04/,Tenerife,Eibar,2,1,0,g_1_tUWs3NlH,2.48,2.87,3.26,0.72,0.96
football,Laliga2 2023 2024,Round 34,07/04/,Mirandes,Gijon,1,3,2,g_1_E1DY65kh,2.42,2.96,3.26,2.06,0.87
football,Laliga2 2023 2024,Round 34,07/04/,Villarreal B,Burgos CF,2,1,0,g_1_0IFp43ZA,2.7,3.1,2.74,1.37,1.03
football,Laliga2 2023 2024,Round 34,07/04/,Huesca,Leganes,0,0,1,g_1_hnPP8RKu,2.64,2.78,3.13,0.99,0.25
football,Laliga2 2023 2024,Round 34,07/04/,Levante,Zaragoza,2,1,0,g_1_WxOT7ozn,2.05,2.97,4.29,0.91,0.59
football,Laliga2 2023 2024,Round 34,06/04/,Eldense,Andorra,0,2,2,g_1_KvMo3x77,2.34,2.99,3.38,0.61,1.05
football,Laliga2 2023 2024,Round 34,06/04/,Amorebieta,Racing Club Ferrol,3,1,0,g_1_KbfBk4KH,2.97,2.78,2.77,1.32,0.38
football,Laliga2 2023 2024,Round 34,06/04/,Elche,Oviedo,0,2,2,g_1_tErKmrkU,1.96,3.18,4.3,0.65,1.47
football,Laliga2 2023 2024,Round 33,01/04/,Oviedo,Villarreal B,2,1,0,g_1_bBpme8jt,1.46,4.48,6.77,1.73,1.29
football,Laliga2 2023 2024,Round 33,31/03/,Racing Club Ferrol,Elche,1,0,0,g_1_WOregnLh,3.81,2.96,2.18,1.43,0.15
football,Laliga2 2023 2024,Round 33,31/03/,Zaragoza,Tenerife,3,1,0,g_1_MDy8jp5B,2.32,2.54,4.3,0.61,1.35
football,Laliga2 2023 2024,Round 33,31/03/,Alcorcon,Amorebieta,1,1,1,g_1_4AhZ4O27,2.15,2.9,4.01,0.8,0.76
football,Laliga2 2023 2024,Round 33,31/03/,Albacete,Huesca,1,1,1,g_1_dpgV54m1,2.18,2.84,4.05,1.39,0.49
football,Laliga2 2023 2024,Round 33,31/03/,Gijon,Racing Santander,2,3,2,g_1_Sjx4iQk5,2.2,3.25,3.39,1.62,1.32
football,Laliga2 2023 2024,Round 33,31/03/,Andorra,Mirandes,1,0,0,g_1_6yIs4Ii1,1.93,3.1,4.61,0.35,0.98
football,Laliga2 2023 2024,Round 33,31/03/,Eibar,Eldense,5,1,0,g_1_nZHJCzMD,1.63,3.64,5.82,2.83,0.65
football,Laliga2 2023 2024,Round 33,31/03/,Leganes,FC Cartagena SAD,0,0,1,g_1_hYqifS5n,1.59,3.57,6.65,0.38,0.14
